Designator,Mid X,Mid Y,Rotation,Layer
_3,175.86,-135.695,0.0,top
_2,186.589393,-131.147848,0.0,top
,170.66,-135.695,0.0,top
D1,174.915149,-118.674149,180.0,bottom
D2,182.233895,-131.569737,0.0,bottom
Q3,170.496361,-124.34,0.0,bottom
Q4,184.215973,-126.455456,90.0,bottom
TP1,170.662755,-127.42,0.0,top
TP11,181.13401,-126.786409,90.0,top
TP12,186.589463,-128.750456,90.0,top
TP13,176.737733,-121.959938,180.0,top
TP14,175.087733,-121.957442,180.0,top
TP2,170.03,-121.965,0.0,top
TP3,172.735,-121.964221,0.0,top
TP5,186.592421,-126.045456,90.0,top
